Species,Station,Date,Time,ImageQuality,DeleteFlag,Weather,Water,Animal,Temperature,FalseTrigger
Baboon,NPR1,06-May-17,17:40:01,Dark,FALSE,Shade,TRUE,TRUE,20,FALSE
Jackal,NPR1,09-May-17,19:08:15,Dark,FALSE,Dark,TRUE,TRUE,15,FALSE
Kudu,NPR1,10-May-17,3:37:13,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE
Baboon,NPR1,14-May-17,9:02:14,Ok,FALSE,Sunny,TRUE,TRUE,11,FALSE
Jackal,NPR1,19-May-17,17:36:06,Ok,FALSE,Shade,TRUE,TRUE,23,FALSE
Klipspringer,NPR1,21-May-17,18:23:56,Dark,FALSE,Dark,TRUE,TRUE,21,FALSE
Baboon,NPR1,24-May-17,17:29:59,Ok,FALSE,Shade,TRUE,TRUE,20,FALSE
Cattle,NPR1,24-May-17,10:00:02,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE
Cattle,NPR1,24-May-17,10:34:45,Ok,FALSE,Sunny,TRUE,TRUE,22,FALSE
Cattle,NPR1,24-May-17,16:23:45,Ok,FALSE,Shade,TRUE,TRUE,21,FALSE
Baboon,NPR1,25-May-17,16:48:24,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE
Baboon,NPR1,25-May-17,17:00:02,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE
Baboon,NPR1,25-May-17,17:03:28,Ok,FALSE,Shade,TRUE,TRUE,16,FALSE
Baboon,NPR1,30-May-17,14:32:30,Ok,FALSE,Shade,TRUE,TRUE,30,FALSE
Baboon,NPR1,03-Jun-17,15:04:41,Dark,FALSE,Shade,TRUE,TRUE,31,FALSE
Klipspringer,NPR1,04-Jun-17,9:25:57,Ok,FALSE,Sunny,TRUE,TRUE,13,FALSE
Jackal,NPR1,07-Jun-17,9:56:40,Ok,FALSE,Sunny,TRUE,TRUE,12,FALSE
Jackal,NPR1,08-Jun-17,3:00:28,Dark,FALSE,Dark,TRUE,TRUE,5,FALSE
Jackal,NPR1,08-Jun-17,17:06:24,Dark,FALSE,Dark,TRUE,TRUE,10,FALSE
Baboon,NPR1,10-Jun-17,10:40:23,Ok,FALSE,Sunny,TRUE,TRUE,17,FALSE
Baboon,NPR1,11-Jun-17,17:58:11,Dark,FALSE,Dark,TRUE,TRUE,12,FALSE
